Idle state, waiting for transmission to start.
Idle state, waiting for transmission to start.
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 23:23:44,312] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:23:44,771] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:23:44,778] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:23:44,784] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:23:45,028] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:23:45,035] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:23:45,040] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:23:49,763] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:26:23,935] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:26:23,936] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:26:24,006] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:26:24,016] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:26:24,672] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:26:25,586] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:26:26,272] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:26:26,278] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:26:26,278] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:26:26,557] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:26:26,593] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:26:26,598] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:27:32,550] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:27:32,601] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:27:32,668] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:28:34,659] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:34,660] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:34,738] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:34,772] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:35,246] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:28:36,827] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:28:37,823] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:37,829] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:28:37,830] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:38,108] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:38,119] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:38,120] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:28:50,398] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:50,399] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:50,510] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:50,518] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:51,096] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:28:51,355] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:28:52,662] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:52,667] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:28:52,681] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:53,026] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:28:53,032] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:28:53,037] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:29:25,058] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:29:25,059] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:29:25,147] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:29:25,153] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:29:25,690] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:29:26,800] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:29:27,266] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
